Temperature,Humidity,Wind speed,Visibility,Solar Radiation,Rented Bike B,Date,Hour,Seasons,Functioning Day,Holiday
-5.2,37.0,2.2,2000,0.0,0.0,0.0,0.0,3.0,1.0,1.0
-5.5,38.0,0.8,2000,0.0,0.0,0.0,1.0,3.0,1.0,1.0
-6.0,39.0,1.0,2000,0.0,0.0,0.0,2.0,3.0,1.0,1.0
-6.2,40.0,0.9,2000,0.0,0.0,0.0,3.0,3.0,1.0,1.0
-6.0,36.0,2.3,2000,0.0,0.0,0.0,4.0,3.0,1.0,1.0
-6.4,58.2294763320375,1.5,2000,0.0,0.0,0.0,5.0,3.0,1.0,1.0
-6.6,35.0,1.3,2000,0.0,0.0,0.0,6.0,3.0,1.0,1.0
-7.6,37.0,1.1,2000,0.01,1.0,0.0,8.0,3.0,1.0,1.0
-6.5,27.0,0.5,1928,0.23,0.0,0.0,9.0,3.0,1.0,1.0
-3.5,24.0,1.2,1996,0.65,0.0,0.0,10.0,3.0,1.0,1.0
-0.5,21.0,1.3,1936,0.94,0.0,0.0,11.0,3.0,1.0,1.0
1.7,23.0,1.4,2000,1.11,0.0,0.0,12.0,3.0,1.0,1.0
2.4,25.0,1.6,2000,1.16,0.0,0.0,13.0,3.0,1.0,1.0
3.0,26.0,2.0,2000,1.01,0.0,0.0,14.0,3.0,1.0,1.0
2.1,36.0,3.2,2000,0.54,0.0,0.0,15.0,3.0,1.0,1.0
1.2,58.2294763320375,4.2,793,0.24,0.0,0.0,16.0,3.0,1.0,1.0
0.8,58.0,1.6,2000,0.08,1.0,0.0,17.0,3.0,1.0,1.0
0.6,66.0,1.4,2000,0.0,1.0,0.0,18.0,3.0,1.0,1.0
0.0,77.0,1.7,2000,0.0,1.0,0.0,19.0,3.0,1.0,1.0
-0.3,79.0,1.5,1913,0.0,0.0,0.0,20.0,3.0,1.0,1.0
-0.8,81.0,0.8,1687,0.0,0.0,0.0,21.0,3.0,1.0,1.0
-0.9,83.0,1.5,1380,0.0,0.0,0.0,22.0,3.0,1.0,1.0
-1.3,84.0,1.0,1265,0.0,0.0,0.0,23.0,3.0,1.0,1.0
-1.8,87.0,1.1,994,0.0,0.0,1.0,0.0,3.0,1.0,1.0
-2.2,86.0,0.6,990,0.0,0.0,1.0,1.0,3.0,1.0,1.0
-2.9,86.0,1.5,1256,0.0,0.0,1.0,2.0,3.0,1.0,1.0
-3.5,81.0,2.2,1221,0.0,0.0,1.0,3.0,3.0,1.0,1.0
-3.8,79.0,2.0,1167,0.0,0.0,1.0,4.0,3.0,1.0,1.0
-4.0,79.0,1.5,1202,0.0,0.0,1.0,5.0,3.0,1.0,1.0
