Rented Bike Count,Temperature,Humidity,Wind speed,Visibility,Solar Radiation,Rented Bike B,Date,Hour,Seasons,Functioning Day,Holiday
254,-5.2,37.0,2.2,2000,0.0,0.0,0.0,0.0,3.0,1.0,1.0
204,-5.5,38.0,0.8,2000,0.0,0.0,0.0,1.0,3.0,1.0,1.0
173,-6.0,39.0,1.0,2000,0.0,0.0,0.0,2.0,3.0,1.0,1.0
107,-6.2,40.0,0.9,2000,0.0,0.0,0.0,3.0,3.0,1.0,1.0
78,-6.0,36.0,2.3,2000,0.0,0.0,0.0,4.0,3.0,1.0,1.0
100,-6.4,58.2294763320375,1.5,2000,0.0,0.0,0.0,5.0,3.0,1.0,1.0
181,-6.6,35.0,1.3,2000,0.0,0.0,0.0,6.0,3.0,1.0,1.0
930,-7.6,37.0,1.1,2000,0.01,1.0,0.0,8.0,3.0,1.0,1.0
490,-6.5,27.0,0.5,1928,0.23,0.0,0.0,9.0,3.0,1.0,1.0
339,-3.5,24.0,1.2,1996,0.65,0.0,0.0,10.0,3.0,1.0,1.0
360,-0.5,21.0,1.3,1936,0.94,0.0,0.0,11.0,3.0,1.0,1.0
449,1.7,23.0,1.4,2000,1.11,0.0,0.0,12.0,3.0,1.0,1.0
451,2.4,25.0,1.6,2000,1.16,0.0,0.0,13.0,3.0,1.0,1.0
447,3.0,26.0,2.0,2000,1.01,0.0,0.0,14.0,3.0,1.0,1.0
463,2.1,36.0,3.2,2000,0.54,0.0,0.0,15.0,3.0,1.0,1.0
484,1.2,58.2294763320375,4.2,793,0.24,0.0,0.0,16.0,3.0,1.0,1.0
555,0.8,58.0,1.6,2000,0.08,1.0,0.0,17.0,3.0,1.0,1.0
862,0.6,66.0,1.4,2000,0.0,1.0,0.0,18.0,3.0,1.0,1.0
600,0.0,77.0,1.7,2000,0.0,1.0,0.0,19.0,3.0,1.0,1.0
426,-0.3,79.0,1.5,1913,0.0,0.0,0.0,20.0,3.0,1.0,1.0
405,-0.8,81.0,0.8,1687,0.0,0.0,0.0,21.0,3.0,1.0,1.0
398,-0.9,83.0,1.5,1380,0.0,0.0,0.0,22.0,3.0,1.0,1.0
323,-1.3,84.0,1.0,1265,0.0,0.0,0.0,23.0,3.0,1.0,1.0
328,-1.8,87.0,1.1,994,0.0,0.0,1.0,0.0,3.0,1.0,1.0
308,-2.2,86.0,0.6,990,0.0,0.0,1.0,1.0,3.0,1.0,1.0
262,-2.9,86.0,1.5,1256,0.0,0.0,1.0,2.0,3.0,1.0,1.0
167,-3.5,81.0,2.2,1221,0.0,0.0,1.0,3.0,3.0,1.0,1.0
89,-3.8,79.0,2.0,1167,0.0,0.0,1.0,4.0,3.0,1.0,1.0
79,-4.0,79.0,1.5,1202,0.0,0.0,1.0,5.0,3.0,1.0,1.0
70,-4.3,82.0,2.1,1178,0.0,0.0,1.0,6.0,3.0,1.0,1.0
146,-4.4,81.0,2.5,1276,0.0,0.0,1.0,7.0,3.0,1.0,1.0
219,-4.2,58.2294763320375,2.1,1436,0.01,0.0,1.0,8.0,3.0,1.0,1.0
328,-2.9,68.0,1.6,1487,0.3,0.0,1.0,9.0,3.0,1.0,1.0
334,-0.4,57.0,1.6,1309,0.8,0.0,1.0,10.0,3.0,1.0,1.0
388,1.9,49.0,1.8,1406,1.0,0.0,1.0,11.0,3.0,1.0,1.0
479,4.3,41.0,1.3,1666,1.09,0.0,1.0,12.0,3.0,1.0,1.0
606,6.0,36.0,1.8,1780,1.12,1.0,1.0,13.0,3.0,1.0,1.0
611,7.3,35.0,1.3,1955,0.99,1.0,1.0,14.0,3.0,1.0,1.0
589,7.6,41.0,2.3,1953,0.74,1.0,1.0,15.0,3.0,1.0,1.0
618,6.4,58.2294763320375,2.6,1945,0.22,1.0,1.0,16.0,3.0,1.0,1.0
572,6.0,51.0,2.5,1891,0.06,1.0,1.0,17.0,3.0,1.0,1.0
489,5.5,53.0,1.5,1697,0.0,0.0,1.0,18.0,3.0,1.0,1.0
385,5.0,52.0,2.3,1666,0.0,0.0,1.0,19.0,3.0,1.0,1.0
359,4.6,51.0,1.2,1585,0.0,0.0,1.0,20.0,3.0,1.0,1.0
354,3.5,54.0,1.5,1446,0.0,0.0,1.0,22.0,3.0,1.0,1.0
366,4.0,56.0,1.0,1352,0.0,0.0,1.0,23.0,3.0,1.0,1.0
342,4.0,58.0,1.4,1296,0.0,0.0,2.0,0.0,3.0,1.0,1.0
227,3.9,69.0,1.7,485,0.0,0.0,2.0,1.0,3.0,1.0,1.0
228,3.3,79.0,1.4,830,0.0,0.0,2.0,2.0,3.0,1.0,1.0
117,3.4,71.0,1.6,1011,0.0,0.0,2.0,3.0,3.0,1.0,1.0
76,3.5,73.0,1.0,1060,0.0,0.0,2.0,4.0,3.0,1.0,1.0
32,3.9,75.0,1.9,914,0.0,0.0,2.0,5.0,3.0,1.0,1.0
13,3.4,86.0,2.5,278,0.0,0.0,2.0,6.0,3.0,1.0,1.0
22,3.1,58.2294763320375,1.2,129,0.0,0.0,2.0,7.0,3.0,1.0,1.0
85,3.2,92.0,1.8,244,0.0,0.0,2.0,8.0,3.0,1.0,1.0
152,3.5,91.0,1.8,231,0.02,0.0,2.0,9.0,3.0,1.0,1.0
200,4.4,89.0,2.2,257,0.24,0.0,2.0,10.0,3.0,1.0,1.0
273,5.1,87.0,1.4,321,0.25,0.0,2.0,11.0,3.0,1.0,1.0
333,5.8,85.0,1.7,349,0.43,0.0,2.0,12.0,3.0,1.0,1.0
495,6.8,81.0,1.9,390,0.6,0.0,2.0,13.0,3.0,1.0,1.0
